fsa,LDU,latitude,longitude,distance_min
N5Y,2E2,43.002148,-81.231995,0.8318129722367581
N5Z,2J3,42.978916,-81.208916,0.46307636759915227
N8Y,0A3,42.316551,-82.980888,1.0567084456061195
N9A,3W2,42.311901,-83.02961,0.5922675509188633
N9A,4Z9,42.309002,-83.041512,0.7024305278891796
N9A,5S4,42.314205,-83.051483,0.8793555660627256
P3C,1T6,46.493198,-80.999809,0.19675745940017347
P3E,3L3,46.492893,-80.99308,0.018965724758009363
M6E,2V3,43.681107,-79.435745,0.18731536675397648
M6S,1B7,43.644573,-79.475693,0.6861390783833567
N2V,1R4,43.502304,-80.555885,0.7643461696554252
P7B,2Z7,48.419952,-89.233994,0.29534108129460224
K1S,4C3,45.398891,-75.695374,0.6654602821617519
K1V,0B3,45.348228,-75.680389,0.7638290652101448
K1Y,0W1,45.402416,-75.734596,0.17665819991815238
K1Y,1N8,45.403683,-75.727516,0.1906435848255548
K1Y,1S3,45.398239,-75.722244,0.5404080991273685
K1Z,5C2,45.397457,-75.75779,0.6609738095419598
K2H,9G1,45.323318,-75.838188,0.37548897898017136
K2J,4S4,45.252308,-75.74279,1.863257744956275
K2M,1V9,45.295963,-75.862839,0.9973703875053195
K2S,1Y9,45.271793,-75.910469,1.430460182562437
K7K,2M3,44.247559,-76.498718,1.136770692189073
K8P,1G5,44.155357,-77.40049,1.0829816976545699
K8P,2H3,44.173443,-77.405365,1.0047226030675214
L1H,6M8,43.888107,-78.832275,1.7760091427488747
L1P,1X2,43.903187,-78.974464,1.7032847189597828
L1R,1G6,43.903919,-78.937477,0.38451556079086724
L1S,3J4,43.827293,-79.020599,0.5716409266298398
L1T,3X8,43.857048,-79.063911,1.8631075159937711
L1V,5C3,43.836964,-79.104141,1.009087799422228
L1Z,1P3,43.837158,-78.984772,2.6104731636752145
L2E,5W5,43.110538,-79.118713,0.7585777453735026
L2H,2E5,43.100101,-79.135651,1.8912901142680787
L2M,2T1,43.202351,-79.209587,1.8703331987028742
L2S,1B2,43.126999,-79.262093,1.353587835236637
L2V,2V7,43.127651,-79.211372,0.5891266697963271
L3B,5C7,42.974583,-79.243599,0.35169302310893347
L3K,2E7,42.895126,-79.243942,0.5839278942891505
L3K,3E7,42.886379,-79.25071,0.07239578378180914
L3K,3S7,42.897163,-79.262794,0.9248848694622132
L3K,4E9,42.882431,-79.251114,0.4032742142836468
L3P,5Y6,43.893085,-79.25589,0.6311305080203056
L3S,1Y8,43.836365,-79.271683,0.4153361498535173
L3S,2P3,43.840294,-79.274384,0.35789049227509406
L3T,3G7,43.826859,-79.422729,0.28586202634279817
L3T,3X4,43.831646,-79.412094,0.5298236080363257
L4A,3A7,43.990555,-79.247871,2.155289552515854
L4C,1V2,43.867935,-79.436348,0.7381019270920675
L4C,3G7,43.890629,-79.432114,0.773413527339613
L4C,4H3,43.882153,-79.442558,0.24708900027566424
L4C,6Y1,43.842121,-79.442116,0.9972849399208835
L4H,1C3,43.800667,-79.62365,0.5863315570264601
L4H,1P5,43.820415,-79.615776,0.6688863663126746
L4J,7T4,43.815228,-79.46521,0.712790597905795
L4L,5S8,43.800144,-79.559158,1.32322662490794
L4P,1R5,44.208515,-79.475189,2.5497706030613503
L4W,2A1,43.640442,-79.632408,0.24158189753229076
L4W,4N9,43.64703,-79.656662,1.227519995355423
